country,2015,2016,2017,2018
Afghanistan,8.5,,,4.5
Albania,,,,15.8
UAE,,,,4.4
Argentina,1.2,,,4.8
Armenia,21.6,,,20.6
Australia,5.4,,,6.9
Austria,14.6,,,21.1
Azerbaijan,13.7,,,11.2
Burundi,,,,6.5
Belgium,14,,,20.6
Benin,,,,14
Burkina Faso,,,,20.8
Bangladesh,0.2,,,0.9
Bulgaria,12.1,,,15.6
Bosnia and Herzegovina,36.3,,,8.3
Belarus,,,,14.8
Bolivia,,,,13.1
Brazil,6,,,9
Botswana,,,,9
Canada,12.1,,,8.3
Switzerland,,,,21.5
Chile,,,,11.4
China,15.8,,,8.3
Cote d'Ivoire,,,,16.4
Cameroon,,,,13.1
"Congo, Dem. Rep.",13.8,,,
"Congo, Rep.",,,,17.5
Colombia,8.8,,,10.7
Comoros,,,,7.5
Costa Rica,,,,5.8
Cyprus,,,,9.9
Czech Republic,10.2,,,6.6
Germany,10.5,,,12.9
Denmark,6.3,,,9
Dominican Republic,,,,4.9
Algeria,4.5,,,11.3
Ecuador,3.1,,,5.4
Egypt,,,,0.6
Spain,8.9,,,7
Estonia,,,,13.5
Ethiopia,4.2,,,2.5
Finland,4.9,,,8
Fiji,13.7,,,
France,41,,,33.3
Gabon,,,,25.9
UK,8.7,,,8.7
Georgia,,,,9.6
Ghana,5.1,,,3.5
Guinea,,,,14.1
Gambia,,,,4.8
Greece,25.5,,,3.6
Guatemala,,,,7.3
"Hong Kong, China",18.5,,,
Honduras,,,,5.9
Croatia,,,,6.8
Haiti,,,,20.4
Hungary,,,,2.6
Indonesia,3.4,,,5.7
India,8.9,,,2
Ireland,10.9,,,9.4
Iran,22.6,,,9.2
Iraq,0,,,4.4
Iceland,5.5,,,21.3
Israel,0,,,4.8
Italy,20.6,,,13.7
Jordan,,,,3.2
Japan,25.2,,,8.3
Kazakhstan,,,,10.3
Kenya,,,,5.3
Kyrgyz Republic,,,,8.8
Cambodia,,,,7.5
South Korea,8.9,,,7.9
Kuwait,,,,4.1
Lao,,,,1.9
Lebanon,12.5,,,3.3
Liberia,,,,2.5
Libya,,,,9
Sri Lanka,,,,7
Lithuania,,,,8.3
Luxembourg,,,,12.4
Latvia,18.6,,,17.1
Morocco,5.7,,,3.9
Moldova,,,,10.7
Madagascar,,,,10.4
Mexico,14.4,,,6.5
North Macedonia,17.8,,,13.5
Mali,,,,17.1
Malta,,,,6.3
Myanmar,,,,4.2
Montenegro,,,,13.4
Mongolia,26.8,,,16
Mozambique,,,,4.4
Mauritania,,,,9.6
Mauritius,,,,17
Malawi,,,,3.8
Malaysia,,,,2.8
Namibia,,,,11.2
Niger,,,,7.2
Nigeria,6.8,,,5
Nicaragua,,,,2.8
Netherlands,11.1,,,17
Norway,,,,5.7
Nepal,,,,3.3
New Zealand,,,,9.8
Pakistan,7,,,4.5
Panama,7.3,,,5.1
Peru,8.3,,,17.5
Philippines,1.9,,,13.9
Papua New Guinea,12.7,,,
Poland,12,,,5.3
Portugal,4.2,,,5.1
Paraguay,,,,8
Palestine,10,,,3
Romania,19.9,,,12.9
Russia,27.5,,,23.6
Rwanda,,,,1.6
Saudi Arabia,1.2,,,2.7
Senegal,,,,14.7
Singapore,,,,3
Sierra Leone,,,,3.9
El Salvador,,,,11.4
Serbia,16.4,,,9.2
Slovak Republic,,,,6.4
Slovenia,22,,,12.3
Sweden,8.6,,,12.3
Eswatini,,,,10.1
Chad,,,,10.1
Togo,,,,25
Thailand,5.5,,,3
Tajikistan,,,,0.9
Turkmenistan,,,,4.9
Tunisia,7.6,,,5.1
Turkey,17,,,5.9
Taiwan,,,,17
Tanzania,,,,2.3
Uganda,,,,8.5
Ukraine,25,,,15.3
Uruguay,,,,10.8
USA,13.5,,,11.1
Uzbekistan,,,,3.3
Venezuela,,,,4.1
Vietnam,20.9,,,8.1
Yemen,,,,3.1
South Africa,9.8,,,9
Zambia,,,,10.3
Zimbabwe,,,,3.8
